,Order,Wavelength Start (micron),Region Size (micron),Both Fibers,Species
0,0,0.98024,2.993e-05,0,"Emission line wavelength(s) in region: [(0.98026, 'OH Line')] micron"
1,2,0.99114,2.545e-05,0,"Emission line wavelength(s) in region: [(0.99115, 'Unknown Species')] micron"
2,2,0.99171,3.223e-05,0,"Emission line wavelength(s) in region: [(0.99173, 'OH Line')] micron"
3,2,0.99442,2.957e-05,0,"Emission line wavelength(s) in region: [(0.99444, 'OH Line')] micron"
4,2,0.9949,5.482e-05,0,"Emission line wavelength(s) in region: [(0.99492, 'OH Line')] micron"
5,2,0.99591,4.635e-05,1,"Emission line wavelength(s) in region: [(0.99594, 'OH Line')] micron"
6,3,1.00153,4.261e-05,1,"Emission line wavelength(s) in region: [(1.00156, 'OH Line')] micron"
7,4,1.00154,4.341e-05,0,"Emission line wavelength(s) in region: [(1.00156, 'OH Line')] micron"
8,4,1.00377,4.165e-05,0,"Emission line wavelength(s) in region: [(1.00379, 'Unknown Species')] micron"
9,4,1.00631,4.615e-05,0,"Emission line wavelength(s) in region: [(1.00634, 'OH Line')] micron"
10,4,1.0085,4.951e-05,1,"Emission line wavelength(s) in region: [(1.00852, 'OH Line')] micron"
11,5,1.01267,4.738e-05,0,"Emission line wavelength(s) in region: [(1.01269, 'OH Line')] micron"
12,5,1.01741,3.384e-05,0,"Emission line wavelength(s) in region: [(1.01743, 'OH Line')] micron"
13,5,1.01747,5.825e-05,0,"Emission line wavelength(s) in region: [(1.0175, 'OH Line')] micron"
14,6,1.02056,3.954e-05,0,"Emission line wavelength(s) in region: [(1.02058, 'OH Line')] micron"
15,6,1.02114,3.179e-05,0,"Emission line wavelength(s) in region: [(1.02116, 'OH Line')] micron"
16,6,1.02135,5.262e-05,1,"Emission line wavelength(s) in region: [(1.02138, 'OH Line')] micron"
17,6,1.0228,0.00010667,0,"Emission line wavelength(s) in region: [(1.02283, 'OH Line'), (1.02289, 'OH Line')] micron"
18,7,1.02872,4.577e-05,0,"Emission line wavelength(s) in region: [(1.02874, 'OH Line')] micron"
