,Order,Wavelength Start A,Region Size A,Wavelength Start B,Region Size B,Both Fibers,Integrated Flux B
0,0,9802.386,0.299,9802.386,0.299,0,0.000
1,2,9911.357,0.254,9911.357,0.254,0,0.000
2,2,9917.096,0.322,9917.096,0.322,0,0.000
3,2,9944.194,0.296,9944.194,0.296,0,0.000
4,2,9948.951,0.548,9948.951,0.548,0,0.000
5,2,9959.130,0.464,9959.284,0.155,1,101.955
6,3,10015.330,0.426,10015.330,0.426,1,266.170
7,4,10015.354,0.434,10015.354,0.434,0,0.000
8,4,10037.690,0.416,10037.690,0.416,0,0.000
9,4,10063.112,0.462,10063.112,0.462,0,0.000
10,4,10084.963,0.495,10084.963,0.495,1,211.553
11,5,10126.664,0.474,10126.664,0.474,0,0.000
12,5,10174.121,0.338,10174.121,0.338,0,0.000
13,5,10174.705,0.583,10174.705,0.583,0,0.000
14,6,10205.619,0.395,10205.619,0.395,0,0.000
15,6,10211.431,0.318,10211.431,0.318,0,0.000
16,6,10213.544,0.526,10213.544,0.526,1,226.101
17,6,10228.004,1.067,10228.004,1.067,0,0.000
18,7,10287.155,0.458,10287.155,0.458,0,0.000
19,7,10289.122,0.595,10289.122,0.595,1,734.731
20,7,10298.529,0.677,10298.563,0.576,1,244.177
21,8,10399.191,0.335,10399.191,0.335,1,109.499
22,9,10420.872,0.707,10420.872,0.707,1,576.664
23,9,10471.397,0.745,10471.397,0.745,0,0.000
24,10,10453.079,0.535,10453.079,0.535,0,0.000
25,10,10471.428,0.875,10471.428,0.875,0,0.000
26,10,10511.568,0.969,10511.568,0.969,0,0.000
27,10,10527.179,0.306,10527.179,0.306,0,0.000
28,11,10575.014,0.338,10575.014,0.338,0,0.000
29,11,10588.157,0.326,10588.157,0.326,0,0.000
30,11,10588.988,0.253,10588.988,0.253,0,0.000
31,11,10623.370,0.475,10623.370,0.475,1,75.822
32,13,10723.165,0.429,10723.165,0.429,0,0.000
33,13,10731.388,0.725,10731.388,0.725,1,340.283
34,13,10745.946,0.403,10745.946,0.403,1,202.756
35,13,10753.654,0.571,10753.654,0.571,1,469.561
36,13,10774.903,0.363,10774.903,0.363,1,149.106
37,14,10774.813,0.459,10774.813,0.459,0,0.000
38,14,10831.923,0.688,10831.923,0.688,1,144.890
39,14,10833.981,0.539,10833.981,0.539,1,1282.756
40,14,10844.305,0.763,10844.305,0.763,1,478.762
41,14,10846.862,1.132,10846.862,1.132,0,0.000
42,15,10833.924,0.566,10833.924,0.566,0,0.000
43,15,10844.376,0.685,10844.376,0.685,0,0.000
44,15,10926.053,0.803,10926.053,0.803,1,908.591
45,15,10951.127,0.408,10951.127,0.408,1,186.333
46,16,10951.102,0.537,10951.143,0.454,1,295.982
47,16,10974.989,0.664,10974.989,0.664,1,1147.479
48,16,11009.037,0.457,11009.037,0.457,1,339.800
49,16,11029.317,0.873,11029.317,0.873,1,450.348
50,17,11008.965,0.566,11008.965,0.566,1,106.638
51,17,11029.354,0.378,11029.354,0.378,1,197.346
52,17,11029.858,0.378,11029.858,0.378,1,233.814
53,17,11089.471,0.395,11089.471,0.395,1,231.685
54,17,11090.117,0.394,11090.117,0.394,1,194.182
55,18,11140.420,0.759,11140.420,0.759,0,0.000
56,18,11155.329,0.499,11155.329,0.499,0,0.000
57,18,11156.250,0.422,11156.365,0.192,1,75.437
58,18,11179.721,2.618,11179.721,2.618,0,0.000
59,18,11184.512,3.158,11184.512,3.158,0,0.000
60,20,11306.095,0.538,11306.095,0.538,0,0.000
61,20,11323.097,0.516,11323.097,0.516,1,145.546
62,20,11330.802,0.738,11330.802,0.738,0,0.000
63,20,11353.960,0.542,11353.960,0.542,1,273.856
64,20,11393.242,0.638,11393.242,0.638,0,0.000
65,21,11439.653,0.553,11439.653,0.553,1,1310.230
66,21,11451.217,0.742,11451.217,0.742,1,402.333
67,21,11468.605,0.296,11468.605,0.296,0,0.000
68,22,11439.655,0.594,11439.655,0.594,1,213.103
69,22,11451.249,0.718,11451.249,0.718,0,0.000
70,22,11468.411,0.566,11468.411,0.566,0,0.000
71,22,11538.464,1.226,11538.464,0.902,1,955.484
72,22,11564.955,0.582,11564.955,0.582,0,0.000
73,23,11538.389,0.774,11538.435,0.683,1,351.966
74,23,11564.981,0.478,11564.981,0.478,1,106.857
75,23,11591.310,0.696,11591.310,0.696,1,1372.093
76,23,11604.170,1.147,11604.170,1.147,0,0.000
77,23,11616.889,0.724,11616.889,0.724,0,0.000
78,23,11627.649,0.405,11627.649,0.405,1,390.664
79,23,11650.262,0.942,11650.262,0.942,1,515.625
80,24,11627.555,0.508,11627.555,0.508,0,0.000
81,24,11650.272,0.933,11650.272,0.933,1,603.519
82,24,11695.548,1.403,11696.190,0.601,1,339.189
83,24,11715.563,0.416,11715.563,0.416,1,329.224
84,24,11716.281,0.415,11716.394,0.189,1,380.288
85,24,11750.829,0.363,11750.829,0.363,0,0.000
86,25,11715.620,0.329,11715.620,0.329,0,0.000
87,25,11716.230,0.516,11716.230,0.516,0,0.000
88,25,11787.338,0.449,11787.379,0.367,1,183.053
89,25,11788.276,0.448,11788.276,0.448,1,156.151
90,26,11865.691,0.387,11865.691,0.387,0,0.000
91,26,11866.936,0.300,11866.936,0.300,0,0.000
92,27,11967.733,0.558,11967.733,0.558,0,0.000
93,27,11988.217,0.775,11988.217,0.775,1,569.857
94,27,11999.780,0.671,11999.780,0.671,1,211.090
95,27,12006.733,0.656,12006.733,0.656,1,793.138
96,27,12024.032,0.400,12024.032,0.400,1,276.386
97,27,12030.609,0.532,12030.609,0.532,1,596.325
98,27,12055.687,0.411,12055.687,0.411,0,0.000
99,28,12006.454,1.012,12006.502,0.915,1,207.036
100,28,12024.025,0.423,12024.119,0.235,1,129.212
101,28,12030.572,0.604,12030.572,0.604,1,455.729
102,28,12055.632,0.488,12055.632,0.488,1,246.243
103,28,12119.922,0.856,12119.996,0.744,1,203.787
104,28,12122.333,0.554,12122.333,0.554,1,1612.217
105,28,12135.553,0.386,12135.553,0.386,1,212.378
106,29,12122.298,0.618,12122.298,0.618,1,819.800
107,29,12135.482,0.745,12135.482,0.745,1,446.512
108,29,12154.306,0.405,12154.306,0.405,0,0.000
109,29,12155.160,0.404,12155.160,0.404,1,95.928
110,29,12229.198,0.548,12229.198,0.548,1,963.315
111,30,12228.794,0.905,12228.794,0.905,1,680.210
112,30,12257.369,0.680,12257.369,0.680,1,538.437
113,30,12286.625,0.806,12286.625,0.764,1,2025.282
114,30,12325.680,0.416,12325.680,0.416,1,462.720
115,30,12351.039,0.512,12351.108,0.376,1,257.808
116,30,12351.756,0.443,12351.756,0.443,1,213.005
117,31,12325.613,0.632,12325.759,0.340,1,221.546
118,31,12351.113,0.979,12351.113,0.979,1,911.223
119,31,12400.483,0.878,12400.483,0.878,1,336.364
120,31,12422.733,0.431,12422.733,0.431,1,324.314
121,31,12423.476,0.430,12423.515,0.352,1,291.299
122,31,12462.460,0.704,12462.460,0.704,1,102.586
123,32,12422.684,0.447,12422.684,0.447,0,0.000
124,32,12423.428,0.545,12423.428,0.545,0,0.000
125,32,12482.277,0.716,12482.277,0.716,0,0.000
126,32,12501.726,0.385,12501.726,0.385,1,169.635
