,Emission Line
0,0.9941831079698148
1,0.9956666058835141
2,1.0124025692882583
3,1.0211181064319965
4,1.084448430503436
5,1.1964610276727676
6,1.20526853602708
7,1.2816050015765654
8,1.2899779267663478
9,1.5183080586754194
10,1.5283590252164756
11,1.5306870920631679
12,1.5327950187762511
13,1.5328522032239036
14,1.537253506201235
15,1.5387680942747497
16,1.5391122006869526
17,1.5422374506973857
18,1.5425632620843852
19,1.5427501112657813
20,1.5428412864682495
21,1.5434308261270204
22,1.5434836117705248
23,1.545762591937451
24,1.5458204761941337
25,1.546973362632347
26,1.5470213495808436
27,1.5496377379718687
28,1.5496955222555535
29,1.5505334943414748
30,1.5505767825678016
31,1.551347772871075
32,1.5535467747758638
33,1.5536722406509247
34,1.554159908012191
35,1.5542129935736453
36,1.5565949457128743
37,1.5593197046072502
38,1.5593536953620855
39,1.5626704932197701
40,1.5627384747292528
41,1.5651871087146014
42,1.5653474650983978
43,1.5698227478335107
44,1.575553189145262
45,1.5756511624961413
46,1.5775317509675046
47,1.577683709633932
48,1.5778797563081566
49,1.5826315637810384
50,1.5828970915549747
51,1.5893516358409203
52,1.5910411762601384
53,1.5912734130880037
54,1.5968343004251846
55,1.6052744045176488
56,1.6055485299481556
57,1.6075348896031862
58,1.6123910685752334
59,1.6124512522033512
60,1.6155246161459333
61,1.6190162662922474
62,1.6204098871750314
63,1.6225557034296423
64,1.6230397717437888
65,1.6231405443296119
66,1.6240836877564906
67,1.6241291753820015
68,1.6241896589280094
69,1.6248557777163413
70,1.62656271335827
71,1.62661329959666
72,1.6275026576531053
73,1.629754045176534
74,1.6298148286407037
75,1.6310811841345694
76,1.631131770372794
77,1.63124833866087
78,1.6312938262861463
79,1.6337027709403864
80,1.6337585557642529
81,1.6346165223561226
82,1.6347485864283038
83,1.6352208579474934
84,1.6355764612060162
85,1.6356070528835795
86,1.6364607206438133
87,1.6383734002986596
88,1.638424286455028
89,1.6437464385479157
90,1.643782228811002
91,1.6442774940716058
92,1.647114822158969
93,1.6472836762210006
94,1.647457628895897
95,1.6497929935407425
96,1.652352197283972
97,1.6534562969013182
98,1.6538569878886435
99,1.6549309956917004
100,1.6581266262766756
101,1.6582296982344233
102,1.6605463679481978
103,1.66075051240733
104,1.6687818273332058
105,1.6707527910878675
106,1.6714380046593837
107,1.6718897817426215
108,1.6728405230702559
109,1.6729806849357516
110,1.67492565575695
111,1.6751702891980196
112,1.6884506758621876
113,1.6886289273626263
114,1.6895157860613634
115,1.6898778875387095
116,1.6902716803931856
117,1.6904291375512694
118,1.6905656004215954
119,1.6950459813647882
