raw_id,name,night,frame_type,dpr_type,start_reduce_date,end_reduce_date,drs_status,frame_group,tpl_nexp,tpl_expno,target,do_catg,qc,ins_mode
,,,,,,,,,,,,,,
85426,NIRPS.2023-03-04T06:12:59.178.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 10:36:23.029718,2023-05-16 10:38:15.034927,0,2023-03-04T06:12:29_21267,6,1,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
85433,NIRPS.2023-03-04T07:49:13.105.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-05-14 18:34:04.591086,2023-05-14 18:35:32.136083,0,2023-03-04T07:18:08_21274,6,4,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
85430,NIRPS.2023-03-04T07:04:04.465.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 10:51:47.739209,2023-05-16 10:53:55.643879,0,2023-03-04T06:12:29_21271,6,6,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
88744,NIRPS.2023-01-18T04:45:07.552.fits,2023-01-17,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 04:29:50.322328,2023-05-16 04:31:31.670486,0,2023-01-18T03:53:32_13470,6,6,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
106951,NIRPS.2023-05-31T06:09:47.983.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:28:59.630811,2023-06-01 10:30:50.18324,0,2023-05-31T05:38:44_507,6,4,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
106950,NIRPS.2023-05-31T05:59:34.928.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:28:59.604306,2023-06-01 10:30:51.898457,0,2023-05-31T05:38:44_506,6,3,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
106948,NIRPS.2023-05-31T05:39:08.816.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:28:59.610228,2023-06-01 10:30:51.277363,0,2023-05-31T05:38:44_504,6,1,Night sky-sky HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
106942,NIRPS.2023-05-31T04:33:50.799.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:40:47.716537,2023-06-01 10:42:30.102177,0,2023-05-31T04:33:25_498,6,1,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
106946,NIRPS.2023-05-31T05:14:43.022.fits,2023-05-30,SCIENCE_SKY,"OBJECT,SKY",2023-06-01 10:40:47.755208,2023-06-01 10:42:31.470781,0,2023-05-31T04:33:25_502,6,5,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
85429,NIRPS.2023-03-04T06:43:38.349.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 10:51:47.758608,2023-05-16 10:53:55.603774,0,2023-03-04T06:12:29_21270,6,4,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
85427,NIRPS.2023-03-04T06:23:12.235.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 10:51:47.687172,2023-05-16 10:53:56.280211,0,2023-03-04T06:12:29_21268,6,2,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
85428,NIRPS.2023-03-04T06:33:25.292.fits,2023-03-03,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 10:51:47.707773,2023-05-16 10:53:55.645369,0,2023-03-04T06:12:29_21269,6,3,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
88717,NIRPS.2023-01-18T02:35:26.860.fits,2023-01-17,SCIENCE_SKY,"OBJECT,SKY",2023-05-14 11:36:40.728704,2023-05-14 11:38:30.644558,0,2023-01-18T01:54:04_13443,6,5,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
88714,NIRPS.2023-01-18T02:04:47.688.fits,2023-01-17,SCIENCE_SKY,"OBJECT,SKY",2023-05-14 11:36:40.704325,2023-05-14 11:38:31.424143,0,2023-01-18T01:54:04_13440,6,2,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
88742,NIRPS.2023-01-18T04:24:41.436.fits,2023-01-17,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 04:29:50.240697,2023-05-16 04:31:33.465136,0,2023-01-18T03:53:32_13468,6,4,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
88739,NIRPS.2023-01-18T03:54:02.264.fits,2023-01-17,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 04:29:50.07387,2023-05-16 04:31:33.478634,0,2023-01-18T03:53:32_13465,6,1,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
88740,NIRPS.2023-01-18T04:04:15.321.fits,2023-01-17,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 04:29:50.288273,2023-05-16 04:31:33.309956,0,2023-01-18T03:53:32_13466,6,2,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
88741,NIRPS.2023-01-18T04:14:28.379.fits,2023-01-17,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 04:29:50.186341,2023-05-16 04:31:32.703736,0,2023-01-18T03:53:32_13467,6,3,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
88743,NIRPS.2023-01-18T04:34:54.494.fits,2023-01-17,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 04:29:50.207885,2023-05-16 04:31:33.262013,0,2023-01-18T03:53:32_13469,6,5,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
89920,NIRPS.2023-01-21T03:58:30.397.fits,2023-01-20,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 05:30:27.05514,2023-05-16 05:32:02.689033,0,2023-01-21T03:47:56_15033,6,2,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
89919,NIRPS.2023-01-21T03:48:17.340.fits,2023-01-20,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 05:30:26.973095,2023-05-16 05:32:06.310608,0,2023-01-21T03:47:56_15032,6,1,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
89923,NIRPS.2023-01-21T04:29:09.571.fits,2023-01-20,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 05:42:11.167292,2023-05-16 05:43:53.831052,0,2023-01-21T03:47:56_15036,6,5,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
89921,NIRPS.2023-01-21T04:08:43.456.fits,2023-01-20,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 05:42:11.328999,2023-05-16 05:43:54.092431,0,2023-01-21T03:47:56_15034,6,3,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
89924,NIRPS.2023-01-21T04:39:22.628.fits,2023-01-20,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 05:42:11.151801,2023-05-16 05:43:55.217964,0,2023-01-21T03:47:56_15037,6,6,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
89922,NIRPS.2023-01-21T04:18:56.513.fits,2023-01-20,SCIENCE_SKY,"OBJECT,SKY",2023-05-16 05:42:11.203399,2023-05-16 05:43:57.300799,0,2023-01-21T03:47:56_15035,6,4,Night sky-sky - HA,{OBJ_SKY},1,HA
,,,,,,,,,,,,,,
88715,NIRPS.2023-01-18T02:15:00.745.fits,2023-01-17,SCIENCE_SKY,"OBJECT,SKY",2023-05-14 11:36:40.764517,2023-05-14 11:38:31.04724,0,2023-01-18T01:54:04_13441,6,3,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
88713,NIRPS.2023-01-18T01:54:34.629.fits,2023-01-17,SCIENCE_SKY,"OBJECT,SKY",2023-05-14 11:36:40.61875,2023-05-14 11:38:29.868799,0,2023-01-18T01:54:04_13439,6,1,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
88718,NIRPS.2023-01-18T02:45:39.918.fits,2023-01-17,SCIENCE_SKY,"OBJECT,SKY",2023-05-14 11:36:40.810001,2023-05-14 11:38:31.522649,0,2023-01-18T01:54:04_13444,6,6,Night sky-sky - HE,{OBJ_SKY},1,HE
,,,,,,,,,,,,,,
